8,5229
24,972
33,8064
40,6642
43,189
52,3402
61,3231
68,6813
82,8991
85,153
88,7974
97,1962
111,9711
120,171
124,8316
132,5265
135,4995
136,6255
137,2997
143,3879
145,7713
154,117
159,1170
171,7461
175,3078
181,4554
202,5922
215,4608
244,3735
256,4923
260,4428
262,3114
265,4275
270,3645
282,1206
289,801
299,8550
336,7614
341,1359
346,1476
364,2790
365,5013
368,8073
375,3384
385,8262
386,6561
398,4761
407,4068
417,2826
419,45
431,8523
455,3600
464,3033
465,6597
466,8577
471,2853
475,7560
476,2709
499,3204
504,9684
509,1116
524,9810
536,3456
543,8937
545,2475
552,1008
589,5472
590,2394
592,9765
594,2592
610,8676
618,2889
619,9450
628,2466
630,5868
638,2052
640,7767
643,9603
644,5103
667,6651
670,8532
675,2268
693,5391
695,4806
701,864
702,5931
710,999
716,9351
731,9342
737,2340
742,1575
754,1755
761,5382
774,8019
776,7308
797,7839
810,2862
824,9531
829,531
835,2259
842,9729
860,4788
864,3303
893,3222
897,4446
905,4032
911,4572
933,8811
940,3618
952,7929
964,1125
966,1431
974,0
979,6876
983,5805
1010,9891
1030,6030
1031,1593
1033,7281
1039,9288
1046,8343
1058,7272
1074,2313
1081,5679
1099,1368
1107,8046
1112,8919
1113,4815
1115,8622
1118,3546
1120,7875
1145,1665
1151,2088
1154,4374
1178,9207
1181,9819
1195,9324
1197,8460
1210,297
1236,7344
1247,522
1260,7659
1278,6039
1281,7533
1307,2943
1325,747
1343,306
1348,2529
1362,6282
1366,2412
1368,6660
1373,8226
1374,6633
1399,6174
1401,3132
1403,7083
1411,6705
1414,6588
1417,7236
1450,7047
1455,8154
1474,8091
1483,7641
1490,5031
1492,9693
1535,6228
1543,666
1551,9243
1567,7812
1571,1620
1580,333
1594,9090
1604,3042
1615,684
1621,4662
1624,1872
1633,3375
1634,1260
1635,7785
1641,9405
1661,7938
1680,5652
1685,3240
1686,2673
1688,2646
1689,9675
1693,4356
1705,9369
1720,2970
1741,9747
1745,8658
1776,2178
1788,6048
1789,4239
1790,5850
1799,8838
1814,5571
1842,4437
1847,3348
1851,8586
1856,7038
1877,2484
1879,8397
1880,9909
1882,8037
1884,900
1904,3555
1905,7389
1915,9216
1920,3015
1944,8406
1949,6885
1961,3771
1963,6237
1972,7542
1978,2196
1992,1791
1999,9918
2003,9063
2004,4212
2024,8829
2026,6534
2029,2745
2032,3834
2048,7497
2066,7335
2103,7524
2105,7668
2112,1287
2133,495
2146,6084
2154,7650
2172,5436
2189,4257
2202,7290
2206,2016
2215,7677
2225,720
2241,810
2251,2808
2253,5202
2258,1647
2263,8199
2285,3069
2293,1503
2298,2925
2313,36
2331,99
2341,1638
2349,9558
2355,5895
2361,774
2363,8352
2364,6327
2373,9792
2381,3087
2382,1998
2393,1782
2394,1314
2397,9639
2402,9837
2407,3537
2419,8667
2423,1089
2430,2277
2435,6516
2443,4491
2455,5517
2458,6930
2459,4293
2461,4401
2482,9756
2488,5292
2493,4473
2502,5400
2506,4851
2509,9972
2514,8478
2524,9846
2526,1143
2527,7434
2540,5607
2559,4869
2573,1224
2580,3708
2584,5742
2612,2988
2656,5094
2665,1881
2670,2781
2687,8433
2716,7164
